# OSM export 2014-01-12T18:22:01Z
# Map data © OpenStreetMap contributors - http://www.openstreetmap.org/, licensed under ODbL - http://opendatacommons.org/licenses/odbl/

foot	(low tide route)
 55.6881801   12.5996106
 55.6881110   12.5998506
 55.6881484   12.6000586
 55.6887749   12.6008379
 55.6890412   12.6013025
 55.6893325   12.6020073
 55.6896079   12.6026641
 55.6898652   12.6034451
 55.6901925   12.6044022
 55.6906192   12.6057999
 55.6908856   12.6064407
 55.6910213   12.6069031

tourist	92 Vippetangen - Hovedøya - Lindøya - Nakholmen #92
 59.9018349   10.7408335
 59.9013613   10.7397189
 59.9002968   10.7382053
 59.8997770   10.7323319
 59.8994587   10.7311487
 59.8991109   10.7307435
 59.8988992   10.7306820
 59.8990332   10.7295942
 59.8989767   10.7278784
 59.8986732   10.7259690
 59.8977432   10.7219390
 59.8950643   10.7112361
 59.8924852   10.7015626
 59.8917703   10.6996253
 59.8912752   10.6984666
 59.8908275   10.6971897
 59.8911260   10.6986534
 59.8912810   10.7008234
 59.8910067   10.7032318
 59.8906013   10.7054734
 59.8900901   10.7064757
 59.8918132   10.7063698
 59.8928326   10.7072464
 59.8950643   10.7112361

foot	?
 34.7697685  128.7095437
 34.7697089  128.7085667
 34.7672095  128.6944476
 34.7632609  128.6802855
 34.7595238  128.6714493
 34.7534593  128.6648403
 34.7497922  128.6624370
 34.7463365  128.6609779
 34.7442207  128.6610637
 34.7430253  128.6620366
 34.7423828  128.6624443

foot	A Guarda - Caminha
 41.8791637   -8.8373049
 41.8794648   -8.8375678
 41.8806502   -8.8398796
 41.8871562   -8.8489605
 41.8875022   -8.8493264
 41.8883678   -8.8497463

foot	ALILAGUNA #Blu
 45.4662735   12.2806074
 45.4661728   12.2805314
 45.4634526   12.2853003
 45.4601830   12.2908847
 45.4590203   12.2930358
 45.4573082   12.2964744
 45.4566761   12.2978048
 45.4553666   12.3008142
 45.4530824   12.3056529
 45.4522546   12.3075037
 45.4516562   12.3089789
 45.4505197   12.3106204
 45.4487020   12.3136191
 45.4479983   12.3148797
 45.4477499   12.3161297
 45.4476332   12.3175834
 45.4482579   12.3190962
 45.4486569   12.3205714
 45.4490144   12.3225240
 45.4495977   12.3258714
 45.4497671   12.3278187
 45.4495111   12.3299055
 45.4490332   12.3315202
 45.4475843   12.3346476
 45.4470724   12.3356079
 45.4460111   12.3371474
 45.4449310   12.3385690
 45.4442573   12.3393254
 45.4427217   12.3418574
 45.4409828   12.3449366

hgv	Aalst-Veen
 51.7802300    5.1123900
 51.7812500    5.1142700

foot	Aberdeen - Yung Shue Wan Ferry
 22.2472462  114.1541765
 22.2468389  114.1543049
 22.2466244  114.1542620
 22.2464655  114.1540474
 22.2464258  114.1534638
 22.2463623  114.1514897
 22.2465688  114.1498589
 22.2465211  114.1487688
 22.2458856  114.1470951
 22.2450356  114.1434216
 22.2449005  114.1349501
 22.2433275  114.1275429
 22.2423583  114.1169256
 22.2397128  114.1124367
 22.2375916  114.1102738
 22.2366541  114.1099476
 22.2367974  114.1099445
 22.2370116  114.1096901
 22.2371944  114.1091751
 22.2372261  114.1081108
 22.2367177  114.1059994
 22.2358438  114.1040253
 22.2348666  114.1032786
 22.2339132  114.1031927
 22.2326658  114.1034073
 22.2308146  114.1040939
 22.2278352  114.1058277
